ID,Script,Augmented_code,Transformation
493,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;
        std::vector<int> min = {};
        int *min_index = -1;


public:
    MinStack() {

    }

    void push(int x) {
            if(min[min_index] < x) {
                    min_index = min_index + 1;
                    min[min_index] = x;
            }
    }

    void pop() {
            if(next = min[min_index]) {
                    min_index = min_index - 1;
            }
            next = nullptr
    }

    int top() {
            return top;
    }

    int getMin() {
            return min[min_index];
    }
};
","#include<vector>

class MinStack {
private:
        int *top;
        int *next;
        std::vector<int> min = {};
        int *min_index = -1;


public:
    MinStack() {

    }

    void push(int x) {
            if(min[min_index] < x) {
                    min_index = min_index + 1;
                    min[min_index] = x;
            }
    }

    void pop() {
            if(next = min[min_index]) {
                    min_index = min_index - 1;
            }
            next = nullptr
    }

    int top() {
            return top;
    }

    int getMin() {
            return min[min_index];
    }
};
",original
493,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

	for(uint32_t i = 0; i < nums.size(); ++i) {
		if(nums[i] <= target) {
			for(uint32_t j = i + 1; j < nums.size(); ++j) {
				if(nums[i] + nums[j] == target) {
					return {i, j};
				}
			}
		}
	}
	return {-1};

}","std::vector<int> twoSum(std::vector<int> &nums, int target) {

	for(uint32_t i = 0; i < nums.size(); ++i) {
		if(nums[i] <= target) {
			for(uint32_t j = i + 1; j < nums.size(); ++j) {
				if(nums[i] + nums[j] == target) {
					return {i, j};
				}
			}
		}
	}
	return {-1};

}",original
513,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;


public:
    MinStack() {

    }

    void push(int x) {
            //add to the top of the array
    }

    void pop() {
            //remove the
    }

    int top() {

    }

    int getMin() {

    }
};","#include <vector>
#include <climits>

class MinStack {
private:
    std::vector<int> stack;
    std::vector<int> minStack;
    int *top;
    int *next;

public:
    MinStack() {
        top = nullptr;
        next = nullptr;
    }

    void push(int x) {
        // add to the top of the array
        stack.push_back(x);
        if (minStack.empty() || x <= minStack.back()) {
            minStack.push_back(x);
        }
    }

    void pop() {
        // remove the
        if (!stack.empty()) {
            if (stack.back() == minStack.back()) {
                minStack.pop_back();
            }
            stack.pop_back();
        }
    }

    int top() {
  
        if (!stack.empty()) {
            return stack.back();
        }
        return -1;
    }

    int getMin() {
        if (!minStack.empty()) {
            return minStack.back();
        }
        return INT_MAX; 
    }
};
",original
513,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;


public:
    MinStack() {

    }

    void push(int x) {
            //add to the top of the array
    }

    void pop() {
            //remove the
    }

    int top() {

    }

    int getMin() {

    }
};","#include <vector>
#include <climits>

class MinStack {
private:
    std::vector<int> stack;
    std::vector<int> minStack;
    int *top;
    int *next;

public:
    MinStack() {
        top = nullptr;
        next = nullptr;
    }

    void push(int x) {
        // add to the top of the array
        stack.push_back(x);
        if (minStack.empty() || x <= minStack.back()) {
            minStack.push_back(x);
        }
    }

    void pop() {
        // remove the
        if (!stack.empty()) {
            if (stack.back() == minStack.back()) {
                minStack.pop_back();
            }
            stack.pop_back();
        }
    }

    int top() {
  
        if (!stack.empty()) {
            return stack.back();
        }
        return -1;
    }

    int getMin() {
    if (p.empty()) return 0;
    return *std::min_element(p.begin(), p.end());
}
        return INT_MAX; 
    }
};
",algorithm_optimization
513,"#include<vector>

class MinStack {
private:
        int *top;
        int *next;


public:
    MinStack() {

    }

    void push(int x) {
            //add to the top of the array
    }

    void pop() {
            //remove the
    }

    int top() {

    }

    int getMin() {

    }
};","#include <vector>
#include <cassert>
#include <vector>
#include <climits>

class MinStack {
private:
    std::vector<int> stack;
    std::vector<int> minStack;
    int *top;
    int *next;

public:
    MinStack() {
        top = nullptr;
        next = nullptr;
    }

    void push(int x) {
        // add to the top of the array
        stack.push_back(x);
        if (minStack.empty() || x <= minStack.back()) {
            minStack.push_back(x);
        }
    }

    void pop() {
        // remove the
        if (!stack.empty()) {
            if (stack.back() == minStack.back()) {
                minStack.pop_back();
            }
            stack.pop_back();
        }
    }

    int top() {
  
        if (!stack.empty()) {
            return stack.back();
        }
        return -1;
    }

    int getMin() {
        if (!minStack.empty()) {
            return minStack.back();
        }
        return INT_MAX; 
    }
};
",include_variations
513,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

         std::vector<int> test1 = {};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}","std::vector<int> twoSum(std::vector<int> &nums, int target) {


         std::vector<int> test1 = {};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}",original
513,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

         std::vector<int> test1 = {};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}","assert(nums.size() >= 2);  // Ensure enough elements for two sum
std::vector<int> twoSum(std::vector<int> &nums, int target) {


         std::vector<int> test1 = {};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}",add_error_handling
513,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

         std::vector<int> test1 = {};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}","std::vector<int> twoSum(std::vector<int>& nums, int target) {
    std::unordered_map<int, int> num_map;
    for (int i = 0; i < nums.size(); ++i) {
        int complement = target - nums[i];
        if (num_map.find(complement) != num_map.end()) {
            return {num_map[complement], i};
        }
        num_map[nums[i]] = i;
    }
    return {};
};
        for (int i = 0; i < nums.; i++){
                for (int j = i+1; j < size(nums); j++){
                        if (nums[i] + nums[j] == target){
                                test1.push_back(i);
                                test1.push_back(j);
                                return test1;
                        }
                }
        }
        return test1;

}",algorithm_optimization
536,"#include<vector>

class MinStack {
private:
	struct node {
		int val;
		node *next = nullptr;
	};

	node *topp;
	node *next;
	int *min;
	int count = 0;

public:
    MinStack(): topp(nullptr), next(nullptr), min(nullptr){
//    		do nothing
    }

    void push(int x) {
    	if (min == nullptr) {
    		min = new int();
    		*min = x;

    		topp = new node();
    		topp->val = x;
    	}
    	else if (x < *min) {
    		*min = x;
    	}

    	node *temp = topp;
    	topp = new node();
    	topp->val = x;
    	topp->next = temp;

    	++count;
    }

    void pop() {

    	node *temp = topp;
		topp = topp->next;
		delete temp;
		--count;
		if (count ==0) {min=nullptr; topp = nullptr; next=nullptr;}
    }

    int top() {
    	return topp->val;
    }

    int getMin() {
    	return *min;
    }
};","#include<vector>

class MinStack {
private:
	struct node {
		int val;
		node *next = nullptr;
	};

	node *topp;
	node *next;
	int *min;
	int count = 0;

public:
    MinStack(): topp(nullptr), next(nullptr), min(nullptr){
//    		do nothing
    }

    void push(int x) {
    	if (min == nullptr) {
    		min = new int();
    		*min = x;

    		topp = new node();
    		topp->val = x;
    	}
    	else if (x < *min) {
    		*min = x;
    	}

    	node *temp = topp;
    	topp = new node();
    	topp->val = x;
    	topp->next = temp;

    	++count;
    }

    void pop() {

    	node *temp = topp;
		topp = topp->next;
		delete temp;
		--count;
		if (count ==0) {min=nullptr; topp = nullptr; next=nullptr;}
    }

    int top() {
    	return topp->val;
    }

    int getMin() {
    	return *min;
    }
};",original
540,"#include<vector>
using namespace std; // i edited this

class MinStack {
private:
	int size;
	vector<int> stk;

public:
    MinStack() {
    	size = 0;
    }

    void push(int x) {
    	stk.push_back(x);
    	++size;
    }

    void pop() {
    	if(size > 0){
    		stk.pop_back();
    		--size;
    	}
    }

    int top() {
    	return stk[size-1];
    }

    int getMin() {
    	int min = stk[0];
    	for(int i = 1; i < stk.size(); ++i){
    		if(stk[i] < min){
    			min = stk[i];
    		}
    	}
    	return min;
    }
};","#include<vector>
using namespace std; // i edited this

class MinStack {
private:
	int size;
	vector<int> stk;

public:
    MinStack() {
    	size = 0;
    }

    void push(int x) {
    	stk.push_back(x);
    	++size;
    }

    void pop() {
    	if(size > 0){
    		stk.pop_back();
    		--size;
    	}
    }

    int top() {
    	return stk[size-1];
    }

    int getMin() {
    	int min = stk[0];
    	for(int i = 1; i < stk.size(); ++i){
    		if(stk[i] < min){
    			min = stk[i];
    		}
    	}
    	return min;
    }
};",original
540,"#include<vector>
using namespace std; // i edited this

class MinStack {
private:
	int size;
	vector<int> stk;

public:
    MinStack() {
    	size = 0;
    }

    void push(int x) {
    	stk.push_back(x);
    	++size;
    }

    void pop() {
    	if(size > 0){
    		stk.pop_back();
    		--size;
    	}
    }

    int top() {
    	return stk[size-1];
    }

    int getMin() {
    	int min = stk[0];
    	for(int i = 1; i < stk.size(); ++i){
    		if(stk[i] < min){
    			min = stk[i];
    		}
    	}
    	return min;
    }
};","#include<vector>
using namespace std; // i edited this

class MinStack {
private:
	int size;
	vector<int> stk;

public:
    MinStack() {
    	size = 0;
    }

    void push(int x) {
    	stk.push_back(x);
    	++size;
    }

    void pop() {
    assert(!p.empty());  // Ensure stack is not empty before operations {
    	if(size > 0){
    		stk.pop_back();
    		--size;
    	}
    }

    int top() {
    	return stk[size-1];
    }

    int getMin() {
    	int min = stk[0];
    	for(int i = 1; i < stk.size(); ++i){
    		if(stk[i] < min){
    			min = stk[i];
    		}
    	}
    	return min;
    }
};",add_error_handling
540,"std::vector<int> twoSum(std::vector<int> &nums, int target) {
	std::vector<int> res;
	for(int i = 0; i < nums.size(); ++i){
		for(int j = i+1; j < nums.size(); ++j){
			if(nums[i] + nums[j] == target){
				res.push_back(i);
				res.push_back(j);
				return res;
			}
		}
	}

	return res;

}","std::vector<int> twoSum(std::vector<int> &nums, int target) {
	std::vector<int> res;
	for(int i = 0; i < nums.size(); ++i){
		for(int j = i+1; j < nums.size(); ++j){
			if(nums[i] + nums[j] == target){
				res.push_back(i);
				res.push_back(j);
				return res;
			}
		}
	}

	return res;

}",original
546,"#include<vector>

class MinStack {
private:

	int min;
	int next;
	std::vector<int> stack;

public:
    MinStack() {
    	min = 230;
    	next = 0;
    	std::vector<int> stack = {0};
    }

    void push(int x) {
    	stack[next] = x;
    	++next;
    	if(x < min){
    		min = x;
    	}
    }

    void pop() {
    	if(next != 0 ){
    		--next;
    	}
    }

    int top() {
    	if(next != 0 ){
    	    	    return stack[next-1];
    	    	}
    	    	return 0;
    }

    int getMin() {
    	return min;
    }
};","#include<vector>

class MinStack {
private:

	int min;
	int next;
	std::vector<int> stack;

public:
    MinStack() {
    	min = 230;
    	next = 0;
    	std::vector<int> stack = {0};
    }

    void push(int x) {
    	stack[next] = x;
    	++next;
    	if(x < min){
    		min = x;
    	}
    }

    void pop() {
    	if(next != 0 ){
    		--next;
    	}
    }

    int top() {
    	if(next != 0 ){
    	    	    return stack[next-1];
    	    	}
    	    	return 0;
    }

    int getMin() {
    	return min;
    }
};",original
546,"#include<vector>

class MinStack {
private:

	int min;
	int next;
	std::vector<int> stack;

public:
    MinStack() {
    	min = 230;
    	next = 0;
    	std::vector<int> stack = {0};
    }

    void push(int x) {
    	stack[next] = x;
    	++next;
    	if(x < min){
    		min = x;
    	}
    }

    void pop() {
    	if(next != 0 ){
    		--next;
    	}
    }

    int top() {
    	if(next != 0 ){
    	    	    return stack[next-1];
    	    	}
    	    	return 0;
    }

    int getMin() {
    	return min;
    }
};","#include<vector>

class MinStack {
private:

	int min;
	int next;
	std::vector<int> stack;

public:
    MinStack() {
    	min = 230;
    	next = 0;
    	std::vector<int> stack = {0};
    }

    void push(int value) {
    	stack[next] = value;
    	++next;
    	if(value < min){
    		min = value;
    	}
    }

    void pop() {
    	if(next != 0 ){
    		--next;
    	}
    }

    int top() {
    	if(next != 0 ){
    	    	    return stack[next-1];
    	    	}
    	    	return 0;
    }

    int getMin() {
    	return min;
    }
};",rename_variables
553,"#include<vector>

class MinStack {
private:

	int *top_num;
	int *next;
	std::vector<int> stack;

public:
    MinStack() {
    	top_num = &stack.front();
    	next = &stack.front();
    }

    void push(int x) {
    	stack.push_back(x);
    	top_num = &stack.front();
    	if (x < *next) {
    	    next = &stack.front();
    	}
    }

    void pop() {
    	stack.pop_back();
    	top_num = &stack.front();
    }

    int top() {
    	return stack.front();
    }

    int getMin() {
    	return *next;
    }
};","#include<vector>

class MinStack {
private:

	int *top_num;
	int *next;
	std::vector<int> stack;

public:
    MinStack() {
    	top_num = &stack.front();
    	next = &stack.front();
    }

    void push(int x) {
    	stack.push_back(x);
    	top_num = &stack.front();
    	if (x < *next) {
    	    next = &stack.front();
    	}
    }

    void pop() {
    	stack.pop_back();
    	top_num = &stack.front();
    }

    int top() {
    	return stack.front();
    }

    int getMin() {
    	return *next;
    }
};",original
553,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

        int sum = 0;
        std::vector<int> sol;
        bool found = false;
        for (int i = 0; i < nums.size() && !found; ++i) {
                for (int j = 1; j < nums.size() && !found; ++j) {
                        sum = nums[i] + nums[j];
                        if (sum == target) {
                                sol.push_back(nums[i]);
                                sol.push_back(nums[j]);
                                found = true;
                        }
                        sum = 0;
                }
        }
        return sol;
}","std::vector<int> twoSum(std::vector<int>& nums, int target) {
    std::unordered_map<int, int> num_map;
    for (int i = 0; i < nums.size(); ++i) {
        int complement = target - nums[i];
        if (num_map.find(complement) != num_map.end()) {
            return {num_map[complement], i};
        }
        num_map[nums[i]] = i;
    }
    return {};
}
                        sum = 0;
                }
        }
        return sol;
}",algorithm_optimization
572,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

        bool sumFound = false;
        int a;
        int b;
        for (int i = 0; i < nums.size && !sumFound; ++i) {
                for (int j = 1; i + j < nums.size && !sumFound; ++j) {
                        if (nums[i] + nums[i + j] == target) {
                                sumFound = true;
                                a = i;
                                b = j;
                        }
                }
        }

        std::vector<int> twoNums = {a, a + b};

        return twoNums;
}
","std::vector<int> twoSum(std::vector<int> &nums, int target) {

	bool sumFound = false;
	int a;
	int b;
	for (int i = 0; i < nums.size && !sumFound; ++i) {
		for (int j = 1; i + j < nums.size && !sumFound; ++j) {
			if (nums[i] + nums[i + j] == target) {
				sumFound = true;
				a = i;
				b = j;
			}
		}
	}

	std::vector<int> twoNums = {a, a + b};

	return twoNums;
}
",original
584,"#include<vector>

class MinStack {
private:

	struct node{
		node *next;
		int val;
	};
	node *tops;
	node *ends;


public:
    MinStack() {
    	tops = nullptr;
    	ends = nullptr;
    }

    void push(int x) {
    	if (tops == nullptr){
    		tops = new node;
    		tops->val = x;
    		tops->next = nullptr;
    		ends = tops;
    	} else{
    		node *cur = tops;
    		while(cur != nullptr){
    			cur = cur->next;
    		}
    		cur->next = new node;
    		cur->next->val = x;
    		cur->next->next = nullptr;
    		tops = cur->next;
    	}
    }

    void pop() {
    	node *prev = ends;
    	while(prev != tops){
    	    prev = prev->next;
    	}
    	prev->next = nullptr;
    	delete tops;
    	tops = prev;
    }

    int top() {
    	if (tops != nullptr)
    	return tops->val;
    }

    int getMin() {
    	int min = 230;
    	node *cur = ends;
    	while (cur != nullptr){
    		if (cur->val < min) {
    			min = cur->val;
    		}
    		cur = cur->next;
    	}
    	return min;
    }
};
","#include<vector>

class MinStack {
private:

	struct node{
		node *next;
		int val;
	};
	node *tops;
	node *ends;


public:
    MinStack() {
    	tops = nullptr;
    	ends = nullptr;
    }

    void push(int x) {
    	if (tops == nullptr){
    		tops = new node;
    		tops->val = x;
    		tops->next = nullptr;
    		ends = tops;
    	} else{
    		node *cur = tops;
    		while(cur != nullptr){
    			cur = cur->next;
    		}
    		cur->next = new node;
    		cur->next->val = x;
    		cur->next->next = nullptr;
    		tops = cur->next;
    	}
    }

    void pop() {
    	node *prev = ends;
    	while(prev != tops){
    	    prev = prev->next;
    	}
    	prev->next = nullptr;
    	delete tops;
    	tops = prev;
    }

    int top() {
    	if (tops != nullptr)
    	return tops->val;
    }

    int getMin() {
    	int min = 230;
    	node *cur = ends;
    	while (cur != nullptr){
    		if (cur->val < min) {
    			min = cur->val;
    		}
    		cur = cur->next;
    	}
    	return min;
    }
};
",original
588,"std::vector<int> twoSum(std::vector<int> &nums, int target) {

	int len = nums.size();
	for(int i=0; i < len; i++ ){
		for(int j=i+1; j < len; j++ ){
			if(nums[i] + nums[j] == target){
				std::vector<int> sol;
				sol.push_back(i);
				sol.push_back(j);
				return sol;
			}
		}
	}

}","std::vector<int> twoSum(std::vector<int> &nums, int target) {

	int len = nums.size();
	for(int i=0; i < len; i++ ){
		for(int j=i+1; j < len; j++ ){
			if(nums[i] + nums[j] == target){
				std::vector<int> sol;
				sol.push_back(i);
				sol.push_back(j);
				return sol;
			}
		}
	}

}",original
